component,weight,description
same_condition,0.15,"Trials share at least one mapped condition group"
same_phase,0.20,"Trials have the same normalized phase"
geography_overlap,0.15,"Trials share at least one listed U.S. state"
intervention_type_overlap,0.15,"Trials share at least one intervention type"
study_design_match,0.15,"Trials match on study type, allocation, and primary purpose (all three)"
eligibility_compatible,0.10,"Trials have compatible sex, healthy-volunteer, and age-range eligibility"
enrollment_band_match,0.10,"Trials fall in the same enrollment size band (small/medium/large)"
